College Name,Address,website,Contact,Email ID
"A. J. College of Science and Technology, Thonnakkal",Kerala  - 695 317,http://www.ajcollege.in,,ajcollegeprincipal@gmail.com
"All Saints' College, Thiruvananthapuram",All Saints' College Thiruvananthapuram -695007 +91 8304 841 778 allsaintscolegeasc@gmail.com,http://www.allsaintscollege.ac.in,,allsaintscolegeasc@gmail.com
"Allama Iqbal Institute of Management, Peringamala, Thiruvananthapuram",Your Web address means everything watch our video see why,http://www.aimmba.com,,
"Ayyankali Memorial Arts and Science College, Kuryottumala, Vettithitta P. O., Pathanapuram",,http://www.akmascollege.com,,
"Baby John Memorial Govt. College, Chavara",Kerala PIN: 691583,http://www.bjmgovtcollege.ac.in,,bjmgovtcollege@gmail.com
"Badhiriya B.Ed. Training College, Velichikkala, Kollam",,http://www.badhiriya.org,,
"Baselios Marthoma Mathews II Training College, Kottarakara",,http://www.bmm2tc.org,,
"Bishop Jerome School of Architecture, Fathima College Road, Kollam",,http://www.bjcsicollege.com,,
"Bishop Jesudasan CSI Arts & Science College, Mulayara, Thiruvananthapuram",,http://www.bjcsicollege.com,,
"Bishop Moore College for the Hearing Impaired, Manakala, Adoor",,http://www.bishopmoorecollege.in,,
"Bishop Moore College, Mavelikkara, Alappuzha",,http://www.bishopmoorecollege.in,,
"Buddha College of Teacher Education, Cheppad, Muthukulam North, Alappuzha",,http://bcte.in,,
"C. H. M. M. College for Advanced Studies, Chavarcode, Varkala",Address,http://www.chmmcollege.edu.in,,chmmcollege@gmail.com
"Christ College, Vizhinjam, Thiruvananthapuram",,http://www.christcollegevizhinjam.com,,
"Christian College, Chengannur","Christian College, Chengannur, Alappuzha, Kerala Ph: 0479 2990375 Fax: 0479 2450375",http://www.christiancollege.ac.in,,christiancollege@gmail.com
"Co-Operative Institute of Management and Technology, Manvila, Thiruvananthapuram",Keralauniversity Examination,http://www.casmvk.kerala.gov.in,,casmvk@gmail.com
"College of Applied Science (IHRD), Mavelikkara",Keralauniversity Examination,http://www.casmvk.kerala.gov.in,,casmvk@gmail.com
"College of Applied Science, Adoor",,http://www.casadoor.in,,
"College of Applied Science, Kottarakkara",,http://caskottarakkara.ihrd.ac.in/,,
"College of Applied Sciences (Managed by IHRD), Dhanuvachapuram",University of Kerala,http://casdvpm.ihrd.ac.in,,
"College of Applied Sciences (Managed by IHRD), Kalanjoor",,http://caskalanjoor.ihrd.ac.in/,,
"College of Applied Sciences (Managed by IHRD), Kundara, Kollam","Affiliated to the University of Kerala under the FYUGP pattern, our courses are designed for industry relevance. We offer efficient placement support, and our BCA program is AICTE approved.",http://caskundara.ihrd.ac.in,,
"College of Architecture, Thinavila, Mulayara, Thiruvananthapuram",,http://www.collarc.com,,admin@collarc.com
"CSI Institute of Legal Studies, Cheruvarakonam, Thiruvananthapuram",Divine Law College is the first Law College in Kerala to introduce coaching for Company Secretary Course inside the campus,http://www.divinelawcollege.com,,admission@divinelawcollege.com
"DC School of Management and Technology, Kazhakoottam, Thiruvananthapuram",Divine Law College is the first Law College in Kerala to introduce coaching for Company Secretary Course inside the campus,http://www.divinelawcollege.com,,admission@divinelawcollege.com
Divine Law College,Divine Law College is the first Law College in Kerala to introduce coaching for Company Secretary Course inside the campus,http://www.divinelawcollege.com,,admission@divinelawcollege.com
"Emmanuel College of  B.Ed. Training, Vazhichal, Thiruvananthapuram",TAGS Home About us Facilities Courses Gallery Contact us Mandatory Disclosure Affidavit NCTE NCTE-SRC KERALA UNIVERSITY,http://www.emmanuelbedcollege.ac.in,,
"Emmanuel College, Vazhichal, Thiruvananthapuram","Emmanuel College, Thiruvananthapuram",http://www.emmanuelcollege.ac.in,,emmanuelcollegetvm@gmail.com
"Fathima Matha National College, Kollam",Kerala University,http://www.fmnc.ac.in,,mailbox@fatimacollege.net
"Fathima Memorial Training College, Mylapore, Umayanalloor, Kollam",,http://www.fmtcpallimukku.org,,info@fmtcpallimukku.org
"G. Karunakaran Memorial Co-operative College of Management and Technology, Azhicode, TVM",,http://www.gkmcmt.com,,
"Govt. Arts and Science College, Ambalapuzha",,http://www.ambalapuzhagc.org,,
"Govt. Arts College, Thycaud, Thiruvananthapuram","Copyright © 2026 Govt. Arts College, Thiruvananthapuram | Powered by Astra WordPress Theme",http://www.gactvm.org,,helpline@antiragging.in
"Govt. College of Teacher Education, Thycaud, Thiruvananthapuram",,http://gctetvpm.ac.in/,,
"Govt. College, Kariavattom",Department of Physics is recognised as a  research centre of University of Kerala.,http://govtcollegekariavattom.ac.in/,,
"Govt. College, Nedumangad",,http://www.gcn.ac.in,,
"Govt. Kunjukrishnan Nadar Memorial Arts and Science College, Kanjiramkulam",University of Kerala,http://www.knmgovtcollege.ac.in,,
"Govt. Law College, Barton Hill, Thiruvananthapuram",,http://www.glctvpm.com,,
"Grace International Academy, Punalur",,http://www.graceinternationalacademy.in,,
"Gregorian College of Advanced Studies, Sreekariyam, Thiruvananthapuram",,http://www.gregoriancollege.org,,
Guru Nithya Chaithanya Yathi College Of Law and Research Centre,"Kottapuram,Kadakkal Kollam,Kerala -691536",http://gimskerala.in/,,gimdskdl@gmail.com
"Gurudev Institute of Management Studies, Kadakkal, Kollam","Kottapuram,Kadakkal Kollam,Kerala -691536",http://gimskerala.in/,,gimdskdl@gmail.com
"H. H. The Maharaja's Govt. College for Women, Vazhuthacaud",,http://www.gcwtrivandrum.com,,
"H.H. Maharani Sethu Parvathi Bai N.S.S. College for Women, Neeramankara, Thiruvananthapuram","HHMSPB NSS College for Women, Neeramankara, Kaimanom PO, Thiruvananthapuram, Pin: 695040",http://www.nsscollege4women.edu.in,,principal@nsscollege4women.edu.in
"Haneefa Kunju Memorial College of Education, Umayanalloor, Kollam","We may collect personal information such as your name, email address, phone number, and academic details when you fill out admission forms or contact us.",http://www.hkmcollege.com,,
IMDR College of Advanced Studies (I-CAS),"PURUSHOTHAMGIRI, MYLAM, CHERIYAKONNI.P.O., THIRUVANANTHAPURAM- 695013",http://www.icas.edu.in/,,imdrcollege19@gmail.com
"Institute of Fashion Technology, Kundara, Kollam",Copyright © 2026.Institute of Fashion Technology Kerala.  All rights reserved. Designed and Maintained by CDIT,http://www.iftk.ac.in,,iftk.govt@gmail.com
Institute of Land and Disaster Management,"Punnapra, Alappuzha District, Kerala, India",http://www.imtpunnapra.org,,imtdirector@gmail.com
"Institute of Management and Technology, Punnapra, Alappuzha","Punnapra, Alappuzha District, Kerala, India",http://www.imtpunnapra.org,,imtdirector@gmail.com
"Iqbal college, Daivappura P.O, Peringammala, Thiruvananthapuram",DAIVAPPURA P.O PERINGAMMALA THIRUVANANTHAPURAM KERALA - 695 563,http://www.iqbalcollege.edu.in,9497620298.0,iqbalcollege@rediffmail.com
"Iqbal Training College, Peringammala, Thiruvananthapuram",,http://www.jbmcte-kayamkulam.org,,
"Jameela Beevi Memorial Centre for Teacher Education, Kayamkulam, Alappuzha",,http://www.jbmcte-kayamkulam.org,,
"Jamia Training College, Chithara, Kadakkal, Kollam",,http://www.jamiatrainingcollege.com,,
"K.V.V.S. College of Science and Technology, Enathu, Adoor",,http://www.kvvscst.org,,
"Karmela Rani Training College, Fatima Road, Kollam","Karmela Rani Training College
Fatima Road, Near St. Aloysius HSS, Cutchery P.O.
Kollam - 691013, Kerala, India",http://www.karmelaranitrainingcollege.com,,info@karmelaranitrainingcollege.com
"Kaviyattu College of Education, Pirappancode, Thiruvananthapuram","Kaviyattu College of Education , an affiliated college under University of Kerala is situated at Pirappancode, a rural hamlet in the Manical Panchayat of Thiruvananthapuram District, Kerala.",http://kaviyattucte.com/,,kaviyattutrust@yahoo.com
"Kerala Institute of Co-Operative Management (KICMA), Neyyardam, Thiruvananthapuram",,http://www.kicmakerala.in,,
"Kerala Institute of Tourism and Travel Management (KITTS), Thycaud, Thiruvananthapuram",KITTS invites applications for various posts on contract basis at its headquarters in Thiruvananthapuram. (Date extended: 25-02-2026),http://www.kittsedu.org,,info@kittsedu.org
"KPM BEd. College, Cheriyavelinalloor, Oyoor, Kollam",,http://www.kpmbedcollege.com,,
"KTCT College of Arts and Science, Kallambalam, Thiruvananthapuram",,http://www.ktctcte.com,,
"KTCT College of Teacher Education, Kaduvayil, Thottacadu, Thiruvananthapuram",,http://www.ktctcte.com,,
"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah","Set on the serene banks of Sasthamcotta Lake — Kerala's largest freshwater lake and a Ramsar site — KSMDB College has shaped generations of scholars, leaders and change-makers since 1964.",http://www.ksmdbc.ac.in,,principal@ksmdbc.ac.in
