College Name,Address,website,Contact,Email ID
University of Kerala,"White Memorial College of Arts & Science, Panachamoodu, Thiruvananthapuram. 0471 2243626,",http://www.wmctvm.com,N/A,N/A
Affiliated Colleges,"White Memorial College of Arts & Science, Panachamoodu, Thiruvananthapuram. 0471 2243626,",http://www.wmctvm.com,N/A,N/A
"A. J. College of Science and Technology, Thonnakkal",Kerala  - 695 317,http://www.ajcollege.in,N/A,ajcollegeprincipal@gmail.com
"All Saints' College, Thiruvananthapuram",All Saints' College Thiruvananthapuram -695007 +91 8304 841 778 allsaintscolegeasc@gmail.com,http://www.allsaintscollege.ac.in,N/A,allsaintscolegeasc@gmail.com
"Allama Iqbal Institute of Management, Peringamala, Thiruvananthapuram",Your Web address means everything watch our video see why,http://www.aimmba.com,N/A,N/A
"Ayyankali Memorial Arts and Science College, Kuryottumala, Vettithitta P. O., Pathanapuram",N/A,http://www.akmascollege.com,N/A,N/A
"Baby John Memorial Govt. College, Chavara",Kerala PIN: 691583,http://www.bjmgovtcollege.ac.in,N/A,bjmgovtcollege@gmail.com
"Badhiriya B.Ed. Training College, Velichikkala, Kollam",N/A,http://www.badhiriya.org,N/A,N/A
"Baselios Marthoma Mathews II Training College, Kottarakara",N/A,http://www.bmm2tc.org,N/A,N/A
"Bishop Jerome School of Architecture, Fathima College Road, Kollam",N/A,http://www.bjcsicollege.com,N/A,N/A
"Bishop Jesudasan CSI Arts & Science College, Mulayara, Thiruvananthapuram",N/A,http://www.bjcsicollege.com,N/A,N/A
"Bishop Moore College for the Hearing Impaired, Manakala, Adoor",N/A,http://www.bishopmoorecollege.in,N/A,N/A
"Bishop Moore College, Mavelikkara, Alappuzha",N/A,http://www.bishopmoorecollege.in,N/A,N/A
"Buddha College of Teacher Education, Cheppad, Muthukulam North, Alappuzha",N/A,http://bcte.in,N/A,N/A
"C. H. M. M. College for Advanced Studies, Chavarcode, Varkala",Address,http://www.chmmcollege.edu.in,N/A,chmmcollege@gmail.com
"Christ College, Vizhinjam, Thiruvananthapuram",N/A,http://www.christcollegevizhinjam.com,N/A,N/A
"Christian College, Chengannur","Christian College, Chengannur, Alappuzha, Kerala Ph: 0479 2990375 Fax: 0479 2450375",http://www.christiancollege.ac.in,N/A,christiancollege@gmail.com
"Co-Operative Institute of Management and Technology, Manvila, Thiruvananthapuram",Keralauniversity Examination,http://www.casmvk.kerala.gov.in,N/A,casmvk@gmail.com
"College of Applied Science (IHRD), Mavelikkara",Keralauniversity Examination,http://www.casmvk.kerala.gov.in,N/A,casmvk@gmail.com
"College of Applied Science, Adoor",N/A,http://www.casadoor.in,N/A,N/A
"College of Applied Science, Kottarakkara",N/A,http://caskottarakkara.ihrd.ac.in/,N/A,N/A
"College of Applied Sciences (Managed by IHRD), Dhanuvachapuram",University of Kerala,http://casdvpm.ihrd.ac.in,N/A,N/A
"College of Applied Sciences (Managed by IHRD), Kalanjoor",N/A,http://caskalanjoor.ihrd.ac.in/,N/A,N/A
"College of Applied Sciences (Managed by IHRD), Kundara, Kollam","Affiliated to the University of Kerala under the FYUGP pattern, our courses are designed for industry relevance. We offer efficient placement support, and our BCA program is AICTE approved.",http://caskundara.ihrd.ac.in,N/A,N/A
"College of Architecture, Thinavila, Mulayara, Thiruvananthapuram",N/A,http://www.collarc.com,N/A,admin@collarc.com
"CSI Institute of Legal Studies, Cheruvarakonam, Thiruvananthapuram",Divine Law College is the first Law College in Kerala to introduce coaching for Company Secretary Course inside the campus,http://www.divinelawcollege.com,N/A,admission@divinelawcollege.com
"DC School of Management and Technology, Kazhakoottam, Thiruvananthapuram",Divine Law College is the first Law College in Kerala to introduce coaching for Company Secretary Course inside the campus,http://www.divinelawcollege.com,N/A,admission@divinelawcollege.com
Divine Law College,Divine Law College is the first Law College in Kerala to introduce coaching for Company Secretary Course inside the campus,http://www.divinelawcollege.com,N/A,admission@divinelawcollege.com
"Emmanuel College of  B.Ed. Training, Vazhichal, Thiruvananthapuram",TAGS Home About us Facilities Courses Gallery Contact us Mandatory Disclosure Affidavit NCTE NCTE-SRC KERALA UNIVERSITY,http://www.emmanuelbedcollege.ac.in,N/A,N/A
"Emmanuel College, Vazhichal, Thiruvananthapuram","Emmanuel College, Thiruvananthapuram",http://www.emmanuelcollege.ac.in,N/A,emmanuelcollegetvm@gmail.com
"Fathima Matha National College, Kollam",Kerala University,http://www.fmnc.ac.in,N/A,mailbox@fatimacollege.net
"Fathima Memorial Training College, Mylapore, Umayanalloor, Kollam",N/A,http://www.fmtcpallimukku.org,N/A,info@fmtcpallimukku.org
"G. Karunakaran Memorial Co-operative College of Management and Technology, Azhicode, TVM",N/A,http://www.gkmcmt.com,N/A,N/A
"Govt. Arts and Science College, Ambalapuzha",N/A,http://www.ambalapuzhagc.org,N/A,N/A
"Govt. Arts College, Thycaud, Thiruvananthapuram","Copyright © 2026 Govt. Arts College, Thiruvananthapuram | Powered by Astra WordPress Theme",http://www.gactvm.org,N/A,helpline@antiragging.in
"Govt. College of Teacher Education, Thycaud, Thiruvananthapuram",N/A,http://gctetvpm.ac.in/,N/A,N/A
